coach,team_season,wins,ties
Jim Harbaugh,SF_2013,12,0
Jim Harbaugh,SF_2014,8,0
Jim Tomsula,SF_2015,5,0
Chip Kelly,SF_2016,2,0
Kyle Shanahan,SF_2017,6,0
Steve Spagnuolo,STL_2009,1,0
Steve Spagnuolo,STL_2010,7,0
Steve Spagnuolo,STL_2011,2,0
Jeff Fisher,STL_2012,7,1
Jeff Fisher,STL_2013,7,0
Jeff Fisher,STL_2014,6,0
Jeff Fisher,STL_2015,7,0
Raheem Morris,TB_2009,3,0
Raheem Morris,TB_2010,10,0
Raheem Morris,TB_2011,4,0
Greg Schiano,TB_2012,7,0
Greg Schiano,TB_2013,4,0
Lovie Smith,TB_2014,2,0
Lovie Smith,TB_2015,6,0
Dirk Koetter,TB_2016,9,0
Dirk Koetter,TB_2017,5,0
Jeff Fisher,TEN_2009,8,0
Jeff Fisher,TEN_2010,6,0
Mike Munchak,TEN_2011,9,0
Mike Munchak,TEN_2012,6,0
Mike Munchak,TEN_2013,7,0
Ken Whisenhunt,TEN_2014,2,0
none,TEN_2015,3,0
Mike Mularkey,TEN_2016,9,0
Mike Mularkey,TEN_2017,9,0
Jim Zorn,WAS_2009,4,0
Mike Shanahan,WAS_2010,6,0
Mike Shanahan,WAS_2011,5,0
Mike Shanahan,WAS_2012,10,0
Mike Shanahan,WAS_2013,3,0
Jay Gruden,WAS_2014,4,0
Jay Gruden,WAS_2015,9,0
Jay Gruden,WAS_2016,8,1
Jay Gruden,WAS_2017,7,0
